Sujeto,Propiedad
1,arroz
1,patatas
1,arroz
1,chino
1,fideos
1,carne
1,bambú
1,zanahoria
1,lechuga
1,espinacas
1,puré
1,pescado
1,tiburón
1,lechuga
1,repollo
1,tomate
1,arroz
2,macarrón
2,gamba
2,lenteja
2,habichuela
2,espaguetis
2,canelones
2,plátano
2,manzana
2,fresa
2,sopa
2,pera
2,arroz
2,lomo
2,ternera
2,yogur
2,salchichón
2,mortadela
3,lenteja
3,fideos
3,espaguetis
3,huevo
3,patata
3,lechuga
3,judía
3,cebolla
3,cereal
3,pan
3,manzana
3,pera
3,melón
4,pizza
4,macarrón
4,sopa
4,lasaña
4,paella
4,migas
4,pollo asado
4,hamburguesa
4,patatas
4,carne
4,pescado
4,verdura
5,macarrón
5,espaguetis
5,espinacas
5,acelgas
5,sopa
5,lasaña
5,cocido
5,lenteja
5,estofado
5,chuches
5,chocolate
5,galleta
5,pollo
5,hamburguesa
5,ensalada
5,entremeses
5,jamón
5,queso
6,sopa
6,paella
6,pasta
6,pan
6,carne
6,verdura
6,zanahoria
6,brócoli
6,espinacas
6,pescado
6,cebolla
6,huevo
6,lechuga
6,chorizo
6,lomo
6,jamón
6,gamba
6,mejillón
6,patata
7,macarrón
7,espaguetis
7,lenteja
7,judía
7,cocido
7,estofado
7,pescado
7,ensalada
7,yogur
7,jamón york
7,chóped
7,chorizo
7,coliflor
8,arroz
8,macarrón
8,espaguetis
8,sopa
8,pollo
8,ternera
8,pechuga
8,acelgas
8,coliflor
8,jamón
8,queso
8,chorizo
8,mortadela
8,chóped
8,estofado
8,cereal
9,espaguetis
9,macarrón
9,judía
9,lenteja
9,garbanzos
9,fideos
9,patatas
9,carne
9,pescado
9,tarta
9,yogur
9,chocolate
9,cereal
9,fresa
9,pera
9,manzana
9,naranja
9,sandía
9,melón
10,manzana
10,sandía
10,arroz
10,plátano
10,macarrón
10,fideos
10,judía
10,melón
10,aguacate
10,mango
10,jamón
10,queso
10,yogur
11,lenteja
11,judía
11,patatas
11,puerro
11,zanahoria
11,tomate
11,lechuga
11,coliflor
11,maíz
11,arándano
11,fresa
11,cacahuete
11,trufa
11,espárragos
11,melocotón
11,pizza
11,napolitana
11,palmera
11,mantequilla
11,mermelada
11,mandarina
11,plátano
11,habichuela
12,patata
12,chuches
12,pescado
12,carne
12,fideos
12,espaguetis
12,macarrón
12,pollo
12,alubias
12,lechuga
12,tomate
12,pulpo
12,salmón
12,cordero
12,salchicha
12,salchichón
12,chorizo
13,macarrón
13,sopa
13,lenteja
13,cocido
13,garbanzos
13,canelones
13,lasaña
13,hamburguesa
13,pizza
13,puré
13,arroz
13,huevo
13,costilla
14,espaguetis
14,pan
14,chuleta
14,albóndigas
14,macarrón
14,arroz
14,lomo
14,jamón
14,chorizo
14,chóped
14,mortadela
14,pollo
14,caramelo
14,sopa
15,lenteja
15,plátano
15,pan
15,regaliz
15,caramelo
15,tostada
15,torta
15,pastel
15,espinacas
15,sopa
15,albóndigas
15,macarrón
15,pera
15,uva
15,kiwi
15,patatas
16,garbanzos
16,lenteja
16,macarrón
16,fideuá
16,paella
16,albóndigas
16,lasaña
16,puré
16,garbanzos
16,alubias
16,zanahoria
16,salchichón
16,queso
16,pizza
16,crepes
17,lenteja
17,judía
17,garbanzos
17,fideos
17,chuleta
17,cerdo
17,patatas
17,gamba
17,langostinos
17,sepia
17,salmón
17,carne
17,chorizo
17,jamón
17,pan
18,cocido
18,lenteja
18,macarrón
18,sopa
18,pollo
18,patatas
18,arroz
18,pan
18,lasaña
18,costilla
18,cordero
18,cochinillo
19,paella
19,macarrón
19,carne
19,lechuga
19,tomate
19,pimiento
19,cebolla
19,pisto
19,huevo
19,empanada
19,jamón
19,chorizo
19,queso
19,aceituna
19,morcilla
19,salchicha
19,arroz
19,chorizo
19,donut
19,palmera
19,chocolate
19,lenteja
19,judía
19,garbanzos
19,espinacas
19,pescado
19,pollo
20,pollo
20,patatas
20,pescado
20,carne
20,algodón
20,fideos
20,macarrón
20,pimiento
20,morcilla
20,caramelo
20,regaliz
20,manzana
20,pera
20,mango
20,piña
20,sandía
20,melón
20,palomitas
20,Doritos
20,pastel
20,chocolate
20,fresa
21,macarrón
21,berenjena
21,tomate
21,tortilla
21,carne
21,pescado
21,leche
21,yogur
21,merluza
21,pollo
21,pavo
21,sopa
21,garbanzos
21,lenteja
21,judía
21,panga
21,pizza
21,hamburguesa
21,salchicha
21,ensalada
21,zanahoria
22,patata
22,pera
22,fresa
22,plátano
22,pipas
22,chupachups
22,lenteja
22,huevo
22,caramelo
22,chicle
22,chocolate
22,galleta
23,macarrón
23,espárragos
23,lenteja
23,albóndigas
23,judía
23,ensalada
23,hamburguesa
23,patatas
23,arroz
23,migas
23,chorizo
23,pimiento
23,tomate
23,pepino
23,habichuela
23,sopa
24,aguacate
24,tortilla
24,chuches
24,queso
24,jamón
24,chorizo
24,lomo
24,chistorra
24,pizza
24,hamburguesa
24,patatas
24,ensalada
24,judía
24,lenteja
24,lasaña
24,legumbres
24,regaliz
24,chicle
24,chocolate
24,palomitas
25,macarrón
25,arroz
25,bollo
25,pan
25,helado
25,chicle
25,caramelo
25,gusanitos
25,carne
25,perejil
25,galleta
26,manzana
26,naranja
26,judía
26,lenteja
26,garbanzos
26,pera
26,plátano
26,tomate
26,lechuga
26,berenjena
26,patata
26,uva
26,aceituna
27,filete
27,atún
27,lomo
27,arroz
27,pollo
27,jamón
27,chorizo
27,atún
27,sardina
27,pan
27,fideos
27,garbanzos
27,lenteja
27,judía
28,garbanzos
28,lenteja
28,sopa
28,migas
28,pizza
28,huevo
28,judía
28,pollo
28,salchicha
28,pasta
28,arroz
28,migas
28,sepia
28,merluza
28,boquerón
29,manzana
29,plátano
29,sandía
29,kiwi
29,espárragos
29,macarrón
29,chuleta
29,chorizo
29,morcilla
29,naranja
29,gusanitos
29,palomitas
29,regaliz
29,habichuela
29,lenteja
29,pera
30,lenteja
30,judía
30,fideos
30,garbanzos
30,coliflor
30,pera
30,manzana
30,ternera
30,cangrejo
30,gamba
30,fideos
30,plátano
30,fresa
30,melón
30,pescado
30,tarta
30,chocolate
30,magdalena
30,churros
31,lenteja
31,macarrón
31,habichuela
31,acelgas
31,patata
31,pera
31,sandía
31,estofado
31,sopa
31,arroz
31,pizza
32,espaguetis
32,lasaña
32,pollo
32,ternera
32,verdura
32,fruta
32,sopa
32,arroz
32,arroz blanco
32,sándwich
32,queso
32,galleta
32,bizcocho
32,magdalena
32,gamba
32,pescado
32,salmón
33,arroz
33,trigo
33,pan
33,patatas
33,pollo
33,salsa
33,sopa
33,paella
33,pimiento
33,queso
34,macarrón
34,espaguetis
34,bocadillo
34,fiambre
34,pan
34,galleta
34,magdalena
34,chorizo
34,salchichón
34,jamón
34,judía
34,garbanzos
34,lenteja
34,pescado
34,salmón
34,merluza
34,lenguado
34,emperador
34,lomo
34,chuleta
34,ternera
34,cordero
34,arroz
35,macarrón
35,sopa
35,garbanzos
35,judía
35,habichuela
35,lenteja
35,espárragos
35,lomo
35,bacon
35,salchicha
35,pollo
35,ternera
35,vacuno
35,cordero
35,guarrillo
35,cochinillo
35,salmón
35,sepia
35,patata
35,gamba
35,gamba
35,lechuga
35,tomate
35,zanahoria
36,paella
36,macarrón
36,emperador
36,boquerón
36,sardina
36,pollo
36,ternera
36,sopa
36,garbanzos
36,lenteja
36,fideos
36,lechuga
36,pechuga
36,tomate
