Sujeto,Propiedad
1,braga
1,pantalón
1,zapato
1,zapatilla
1,calcetines
1,calzoncillo
1,jersey
1,camisa
1,camiseta
1,chaqueta
1,gorro
1,gorra
1,bufanda
2,chaqueta
2,jersey
2,sudadera
2,blusa
2,camisa
2,sujetador
2,guante
2,gorro
2,bufanda
2,pantalón
2,malla
2,chándal
2,bota
2,deportiva
2,descalzadores
3,abrigo
3,pantalón
3,zapato
3,sudadera
3,camisa
3,calcetines
3,bota
3,vestido
3,malla
3,chándal
3,bota
3,sujetador
3,braga
3,calzoncillo
4,camisa
4,falda
4,vestido
4,blusa
4,chaqueta
4,bufanda
4,deportiva
4,bota
4,pantalón
4,manoletina
4,sandalias
5,americana
5,jersey
5,vaquero
5,chándal
5,sudadera
5,bota
5,deportiva
5,manoletina
5,sandalias
5,zapatillas casa
5,sujetador
5,braga
5,calzoncillo
5,camisa
5,camiseta
5,jeans
5,calcetines
6,chaqueta
6,pantalón
6,bota
6,camisa
6,camiseta
6,sujetador
6,jersey
6,malla
6,sudadera
6,camisa
6,camiseta
6,chaquetón
6,vestido
6,media
7,camiseta
7,camisa
7,sudadera
7,malla
7,pantalón vaquero
7,jersey
7,vestido
7,falda
7,zapato
7,media
8,blusa
8,chaqueta
8,pantalón
8,zapatilla
8,calcetines
8,sujetador
8,braga
8,calzoncillo
8,bufanda
8,braga
8,tanga
8,pluma
8,rebeca
9,camiseta
9,jersey
9,chaqueta
9,calzoncillo
9,vaquero
9,chándal
9,calcetines
9,zapatilla
9,tirantes
9,pantalón corto
9,calceta
9,guante
9,bufanda
9,traje
9,vestido
9,falda
9,sujetador
9,braga
10,bufanda
10,guante
10,jersey
10,pantalón
10,camisa
10,chaqueta
10,abrigo
10,chándal
10,deportiva
10,bota
10,gorro
10,manoletina
10,malla
10,camisa
11,zapato
11,calcetines
11,pantalón
11,calzoncillo
11,braga
11,sujetador
11,camiseta
11,polar
11,abrigo
11,chaqueta
11,suéter
11,americana
11,frac
11,traje
11,vestido
11,falda
11,patucos
11,zapatillas casa
11,guante
11,bufanda
12,camisa
12,vestido
12,pantalón
12,sujetador
12,braga
12,blusa
12,tanga
12,falda
12,pluma
12,sudadera
12,vaquero
12,pantalón de pana
12,jersey
12,blusas cuello
12,zapato
12,manoletina
12,deportiva
12,Converse
12,calcetines
12,media
13,blusa
13,camisa
13,falda
13,camiseta
13,zapato
13,zapatillas deportivas
13,calcetines
13,leotardos
13,calceta
13,sujetador
13,braga
13,calzoncillo
13,jersey
13,abrigo
13,chaqueta
14,camisa
14,camiseta
14,polar
14,polo
14,jersey
14,pantalón
14,calzoncillo
14,calcetines
14,zapatilla
14,cazadora
14,chaleco
14,sujetador
14,falda
14,leggins
14,manoletina
14,bota
15,chaqueta
15,pantalón
15,jersey
15,zapato
15,calzoncillo
15,calcetines
15,camisa
15,bufanda
15,falda
15,bermudas
15,sujetador
15,braga
15,vestido
15,media
15,bota
16,corbata
16,camisa
16,pantalón
16,zapato
16,calzoncillo
16,braga
16,tanga
16,chaqueta
16,abrigo
16,chinos
16,camiseta
16,chupa
16,bota
16,top
17,pantalón
17,bota
17,camiseta
17,camisa
17,chaqueta
17,zapatilla
17,zapato
17,braga
17,sujetador
17,media
17,leotardos
17,malla
17,calcetines
17,bufanda
17,gorro
17,guante
17,camiseta
18,calcetines
18,pantalón
18,media
18,braga
18,calzoncillo
18,culote
18,tanga
18,sujetador
18,blusa
18,camisa
18,jersey
18,abrigo
18,guante
18,gorro
18,bufanda
19,pantalón
19,vestido
19,chaqueta
19,chaleco
19,blusa
19,falda
19,calcetines
19,braga
19,sujetador
19,jersey
19,pluma
19,abrigo
19,manga corta
19,pantalón corto
19,zapato
19,manoletina
19,bota
19,tirantes
20,camiseta
20,pantalón
20,calcetines
20,zapatilla
20,guante
20,bufanda
20,vestido
20,falda
20,traje
20,corbata
20,camisa
20,abrigo
20,chaqueta
20,impermeable
20,gorro
20,deportiva
20,tacones
20,chubasquero
20,leggins
20,blusón
20,corpiño
20,suéter
20,jersey
20,albornoz
21,jersey
21,camisa
21,camiseta
21,chaqueta
21,chaleco
21,pantalón
21,chinos
21,pantalón corto
21,malla
21,media
21,falda
21,vestido
21,gabardina
21,rebeca
21,bota
21,sandalias
21,deportiva
21,calcetines
21,sujetador
21,braga
21,calzoncillo
22,pantalón
22,camiseta
22,camisa
22,falda
22,calcetines
22,abrigo
22,vestido
22,traje
22,corbata
22,zapato
22,guante
22,gorro
22,bufanda
22,pañuelo
22,jersey
23,calcetines
23,braga
23,calzoncillo
23,sujetador
23,pantalón
23,falda
23,vestido
23,camiseta
23,camisa
23,jersey
23,chubasquero
23,chaqueta
23,abrigo
23,bota
23,zapato
24,sujetador
24,braga
24,calzoncillo
24,bóxer
24,camiseta
24,camisa
24,capa
24,rebeca
24,pantalón
24,vaquero
24,falda
24,short
24,tacones
24,cuña
24,deportiva
24,media
24,malla
24,capa
24,chaquetón
24,polar
24,sudadera
25,camisa
25,jersey
25,chaqueta
25,pantalón corto
25,vaquero
25,pantalón largo
25,zapatilla
25,bota
25,botas de agua
25,cazadora
25,camiseta interior
25,malla
25,tirantes
25,camiseta corta
26,chaqueta
26,pantalón
26,zapato
26,bota
26,camisa
26,sudadera
26,malla
26,chubasquero
26,cazadora
26,blusa
26,chanclas
26,gorro
27,camiseta
27,camisa
27,chaqueta
27,pantalón
27,pantalón largo
27,pantalón corto
27,zapatilla
27,zapato
27,calcetines
27,braga
27,calzoncillo
27,traje
27,chaqueta
28,jersey
28,camisa
28,peto
28,zapatilla
28,anorak
28,falda
28,pantalón corto
28,camiseta corta
28,abrigo
28,leggins
28,bota
28,zapatilla
28,chanclas
28,tacones
29,blusa
29,camisa
29,chaqueta
29,pantalón
29,vestido
29,calcetines
29,braga
29,calzoncillo
29,falda
29,abrigo
29,bufanda
29,camiseta
30,calcetines
30,braga
30,calzones
30,tanga
30,sujetador
30,top
30,camiseta
30,blusa
30,pantalón
30,falda
30,vestido
30,chaqueta
30,abrigo
30,mono
30,túnica
30,media
30,leggins
30,malla
30,peto
31,pantalón
31,camiseta
31,falda
31,abrigo
31,pantalón corto
31,braga
31,calzoncillo
31,sujetador
31,bota
31,manoletina
31,sandalias
31,rebeca
31,vestido
31,chándal
32,chaqueta
32,camisa
32,camiseta
32,pantalón
32,pantalón corto
32,calcetines
32,zapato
32,zapatilla
32,calzoncillo
32,braga
32,sujetador
32,vestido
32,chaleco
32,jersey
32,sudadera
32,vaquero
32,pana
33,falda
33,calcetines
33,pantalón
33,camiseta
33,sudadera
33,chaqueta
33,zapato
33,braga
33,camisa
33,camiseta
34,zapato
34,deportiva
34,calcetines
34,tacones
34,bota
34,chanclas
34,sandalias
34,alpargata
34,pantalón
34,falda
34,vestido
34,camiseta
34,chaqueta
34,abrigo
34,jersey
34,sudadera
34,camisa
34,americana
34,traje
34,gorro
34,bufanda
35,pantalón
35,zapato
35,calcetines
35,calzoncillo
35,camisa
35,camiseta
35,chaqueta
35,camiseta interior
35,jeans
35,corsé
35,percatic
35,sujetador
35,braga
35,leggins
35,malla
35,falda
35,minifalda
35,tirantes
35,chaleco
35,abrigo
35,chaqueta
36,camisa
36,camiseta
36,polar
36,jersey
36,chaqueta
36,pantalón
36,calcetines
36,zapatilla
36,zapato
36,sandalias
36,calzoncillo
36,sujetador
36,vestido
36,abrigo
38,jersey
38,pantalón
38,blusa
38,falda
38,vestido
38,chaqueta
38,bota
38,deportiva
38,tacones
38,abrigo
38,sujetador
38,braga
38,calzoncillo
38,camisa
39,chaqueta
39,camisa
39,camiseta
39,vestido
39,falda
39,calcetines
39,braga
39,sujetador
39,pantalón
39,guante
39,gorro
39,bufanda
39,gafas
39,chaqueta
39,chaleco
39,media
40,zapatilla
40,leggins
40,calcetines
40,vaquero
40,pantalón
40,blusa
40,camisa
40,chaqueta
40,abrigo
40,americana
40,braga
40,sujetador
40,bóxer
40,blusa
40,jersey
40,sudadera
40,chándal
40,guante
40,gorro
40,gorra
40,palabra de honor
40,vestido
40,camiseta
51,gorra
51,chaqueta
51,pantalón
51,abrigo
51,camisa
51,camiseta
51,vaquero
51,zapatilla
51,zapato
51,calcetines
51,gorro
51,pasamontañas
51,guante
51,katiuskas
51,sandalias
52,vestido
52,camiseta
52,pantalón
52,chándal
